id	ranking	korTitle	releaseData	sales	audience	nation	producer	year	poster	movieId
90	10	감시자들	20130703	39380162179	5508017	한국	(주)넥스트엔터테인먼트월드(NEW)	2013	http://file.koreafilm.or.kr/thm/02/00/01/99/tn_DPK005991.JPG	8004
91	1	명량	20140730	1.36E+11	17613682	한국	씨제이이앤엠(주)	2014	http://file.koreafilm.or.kr/thm/02/00/02/93/tn_DPK010000.JPG	8067
92	2	겨울왕국	20140116	82461504400	10296101	미국	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014	http://file.koreafilm.or.kr/thm/02/00/02/09/tn_DPF004105.JPG	4490
93	3	인터스텔라	20141106	80671424300	10105247	미국	워너브러더스 코리아(주)	2014	http://file.koreafilm.or.kr/thm/02/00/03/19/tn_DPF010393.JPG	4558
94	4	해적: 바다로 간 산적	20140806	66370682706	8666046	한국	롯데쇼핑㈜롯데엔터테인먼트	2014	http://file.koreafilm.or.kr/thm/02/00/02/82/tn_DPK009769.JPG	8051
95	5	수상한 그녀	20140122	62705348249	8657982	한국	씨제이이앤엠(주)	2014	http://file.koreafilm.or.kr/thm/02/00/02/11/tn_DPK006333.JPG	8105
96	6	변호인	20131218	41918383800	5687571	한국	(주)넥스트엔터테인먼트월드(NEW)	2014	http://file.koreafilm.or.kr/thm/02/00/02/08/tn_DPK006258.JPG	8076
97	7	국제시장	20141217	41089567596	5345677	한국	씨제이이앤엠(주)	2014	http://file.koreafilm.or.kr/thm/02/00/03/25/tn_DPK010401.JPG	8123
98	8	트랜스포머4: 사라진 시대	20140625	44012752845	5295836	미국	씨제이이앤엠(주)	2014	http://file.koreafilm.or.kr/thm/02/00/02/72/tn_DPF006960.JPG	4637
99	9	군도:민란의 시대	20140723	36988022499	4774931	한국	(주)쇼박스	2014	http://file.koreafilm.or.kr/thm/02/00/02/84/tn_DPK009838.JPG	8033
100	10	엣지 오브 투모로우	20140604	38732961201	4699307	미국	워너브러더스 코리아(주)	2014	http://file.koreafilm.or.kr/thm/02/00/02/68/tn_DPF006674.JPG	4555
101	1	베테랑	20150805	1.05E+11	13414009	한국	씨제이이앤엠(주)	2015	http://file.koreafilm.or.kr/thm/02/00/04/08/tn_DPK010872.jpg	8155
102	2	암살	20150722	98463132781	12705700	한국	(주)쇼박스	2015	http://file.koreafilm.or.kr/thm/02/00/04/08/tn_DPK010855.jpg	8233
103	3	어벤져스: 에이지 오브 울트론	20150423	88582586366	10494499	미국	월트디즈니컴퍼니코리아(주)	2015	http://file.koreafilm.or.kr/thm/02/00/04/01/tn_DPF011271.jpg	4953
104	4	국제시장	20141217	69841376134	8915904	한국	씨제이이앤엠(주)	2015	http://file.koreafilm.or.kr/thm/02/00/03/25/tn_DPK010401.JPG	8123
105	5	내부자들	20151119	56465665657	7055332	한국	(주)쇼박스	2015	http://file.koreafilm.or.kr/thm/02/00/04/16/tn_DPK011129.jpg	8213
106	6	사도	20150916	48842902501	6246849	한국	(주)쇼박스	2015	http://file.koreafilm.or.kr/thm/02/00/04/19/tn_DPK011233.jpg	8189
107	7	킹스맨: 시크릿 에이전트	20150211	50369009795	6129681	미국	이십세기폭스코리아(주)	2015	http://file.koreafilm.or.kr/thm/02/00/03/28/tn_DPF011017.JPG	4852
108	8	미션 임파서블: 로그네이션	20150730	48547353607	6126488	미국	롯데쇼핑㈜롯데엔터테인먼트	2015	http://file.koreafilm.or.kr/thm/02/00/04/08/tn_DPF011654.jpg	5106
109	9	연평해전	20150624	45563228330	6043784	한국	(주)넥스트엔터테인먼트월드(NEW)	2015	http://file.koreafilm.or.kr/thm/02/00/04/10/tn_DPK010929.jpg	8209
110	10	쥬라기 월드	20150611	47800698826	5546792	미국	유니버설픽쳐스인터내셔널 코리아(유)	2015	http://file.koreafilm.or.kr/thm/02/00/04/03/tn_DPF011424.jpg	5078
111	1	부산행	20160720	93178283048	11565479	한국	(주)넥스트엔터테인먼트월드(NEW)	2016	http://file.koreafilm.or.kr/thm/02/00/04/27/tn_DPK011651.jpg	8300
112	2	검사외전	20160203	77320403264	9707581	한국	(주)쇼박스	2016	http://file.koreafilm.or.kr/thm/02/00/04/23/tn_DPK011412.jpg	8414
113	3	캡틴 아메리카: 시빌 워	20160427	72672111827	8677249	미국	월트디즈니컴퍼니코리아(주)	2016	http://file.koreafilm.or.kr/thm/02/00/04/24/tn_DPF012585.jpg	5352
